Omar Benson Miller
Jonah Hill
Anne Bancroft
Anna Paquin
Samantha Morton
James Caan
Joe Viterelli
Sam Elliott
Thandie Newton
Ludacris
Emma Stone
Lindsay Crouse
Stanley Tucci
Kevin Chamberlin
Tch\xc3\xa9ky Karyo
Max Thieriot
Jordi Moll\xc3\xa0
Mary Kay Place
Jackie Earle Haley
Rhys Ifans
Richard T. Jones
Jon Voight
Amanda Detmer
Christopher Walken
Cliff Curtis
Stockard Channing
Derek Jacobi
Ewen Bremner
Loretta Devine
Lena Headey
Emmy Rossum
Pete Postlethwaite
Chris Klein
Edward Herrmann
Mary-Louise Parker
Whoopi Goldberg
Fred Ward
Emily Watson
Woody Harrelson
E.G. Marshall
Michael Gambon
Mark Feuerstein
Noah Taylor
Bill Hader
Demi Moore
Mike Vogel
Jean-Claude Van Damme
R. Lee Ermey
Breckin Meyer
Jeff Bridges
Lauren Graham
Billy Burke
Chris Penn
Matt Dillon
Rene Russo
George Clooney
Gary Oldman
Ray Stevenson
Richard Schiff
Danny McBride
Steven Seagal
Topher Grace
Fionnula Flanagan
David Strathairn
Rachael Leigh Cook
Anthony Edwards
Jim Sturgess
Jamie Kennedy
Abigail Breslin
Jack Hawkins
Glenn Close
Virginia Madsen
Sylvester Stallone
Derek Luke
Al Pacino
Cuba Gooding Jr.
Joan Allen
Holly Hunter
Kimberly Elise
Skeet Ulrich
Missi Pyle
Andy Garcia
Mindy Sterling
Heath Ledger
Gabriel Byrne
Colin Farrell
John Witherspoon
Debra Monk
Paul Schneider
Julian Sands
J.K. Simmons
Shannon Elizabeth
Marshall Bell
Ty Burrell
Kerry Washington
Jake Gyllenhaal
Jay Brazeau
Robert Englund
Claire Forlani
Goldie Hawn
Victor Garber
Val Kilmer
Wesley Snipes
Sam Neill
Ellen Barkin
Joely Richardson
John Lithgow
Steve Martin
Leslie Stefanson
David Keith
Matthew McConaughey
Keri Russell
Courteney Cox
Elizabeth Perkins
Don Rickles
Rufus Sewell
Terence Stamp
Alexa PenaVega
Kenneth Welsh
"Ryan O'Neal"
Heather Matarazzo
Dominic West
Kathy Bates
Teri Garr
Joe Mantegna
Audrey Tautou
Mark Addy
R.G. Armstrong
George W. Bush
Idris Elba
Donna Murphy
Jason Biggs
Mena Suvari
Amanda Peet
Gary Sinise
Pat Hingle
Tim Guinee
G\xc3\xa9rard Depardieu
Kal Penn
Meryl Streep
Brian Blessed
Leslie Mann
Edward Burns
Brian White
Robert Patrick
William Sadler
David Alan Grier
Scarlett Johansson
Harris Yulin
Bokeem Woodbine
Mark Webber
Ashton Kutcher
Lucy Liu
John Hurt
Vince Vaughn
Treat Williams
Peter Gallagher
Ossie Davis
Richard Roundtree
Tilda Swinton
Josh Hutcherson
Carol Kane
Craig T. Nelson
Ryan Gosling
Mark Margolis
Alec Baldwin
Jessica Lange
Tom Cruise
Amitabh Bachchan
Orlando Bloom
Melanie Griffith
Jodie Whittaker
Benicio Del Toro
James Remar
James Belushi
Adrien Brody
Richard Roxburgh
Halle Berry
Chris Tucker
Brent Spiner
Stephen Lang
Tony Curran
Hal Holbrook
Karl Urban
Yul Vazquez
Melissa Leo
Ren\xc3\xa9e Zellweger
Terry Crews
Jennifer Coolidge
Faizon Love
BD Wong
Octavia Spencer
Stellan Skarsg\xc3\xa5rd
Billy Crudup
Campbell Scott
Michelle Pfeiffer
Michael Sheen
Michelle Rodriguez
Judy Greer
Robert De Niro
Colm Feore
Paula Patton
Patrick Stewart
Sean Bean
Andrew Bryniarski
Saffron Burrows
Greg Germann
Judge Reinhold
Swoosie Kurtz
Charlotte Rampling
John Hannah
Emily Mortimer
Eddie Cibrian
Rick Yune
T.J. Miller
John Rothman
Paula Garc\xc3\xa9s
Rita Wilson
Tim Curry
Tara Reid
Jim Broadbent
Tom Hollander
Lindsay Lohan
Rachel Weisz
Mike Starr
Andy Samberg
Debra Messing
Norman Reedus
Taye Diggs
Liv Tyler
Dwight Yoakam
John Michael Higgins
Cathy Moriarty
Seth Green
Brendan Sexton III
Tobin Bell
Jim Caviezel
Carey Mulligan
Wes Bentley
Carrie-Anne Moss
Wanda Sykes
Clint Eastwood
Ernie Hudson
Dylan Walsh
Steve Harris
Laz Alonso
Judi Dench
Ed Harris
Irrfan Khan
Laura Dern
Len Cariou
Nick Frost
Natascha McElhone
James Earl Jones
Hilary Duff
Casey Affleck
Judah Friedlander
Oliver Ford Davies
Dennis Haysbert
Drew Barrymore
Kate Beckinsale
Charles Durning
Jamie Bell
Jennifer Tilly
Curtis Armstrong
Patrick Swayze
Leslie Nielsen
Oliver Platt
Eric Idle
James Badge Dale
Tom Wilkinson
Nick Nolte
Chris Elliott
Orlando Jones
Daryl Sabara
Lochlyn Munro
Emile Hirsch
Ray Liotta
Freddie Highmore
Regina Hall
Rob Schneider
Mary Elizabeth Mastrantonio
Ryan Reynolds
Cameron Diaz
Oscar Isaac
Joey Lauren Adams
Hilary Swank
Gabriel Macht
Mickey Rourke
Alice Braga
Stacy Keach
Illeana Douglas
Todd Louiso
Michelle Monaghan
Juliette Lewis
Ian McShane
Alexis Bledel
Mia Kirshner
Alan Rickman
Celia Weston
Ashley Greene
Joseph Gordon-Levitt
Geena Davis
Colin Firth
Lynn Whitfield
Jonny Lee Miller
Ben Kingsley
Rod Steiger
Jason Clarke
Maria Bello
Eddie Griffin
Kellan Lutz
David Hyde Pierce
Dakota Fanning
James Gandolfini
Jon Tenney
Mike Myers
Thomas Kretschmann
Michael Pe\xc3\xb1a
Johnny Depp
Stephen McHattie
Gene Hackman
Andy Richter
Logan Lerman
Doug Jones
Tamala Jones
Kath Soucie
Franka Potente
Nichelle Nichols
Michael Rooker
Jet Li
Scott Speedman
Adam Scott
Julie Benz
Irma P. Hall
Nora Dunn
Robert Wagner
Will Ferrell
Joe Pantoliano
Ellen Burstyn
Ciar\xc3\xa1n Hinds
M. Emmet Walsh
Matthew Goode
Madonna
Robert Shaw
James Cromwell
Channing Tatum
Hugh Quarshie
Piper Laurie
Clancy Brown
Thomas Jane
Frankie Muniz
Fairuza Balk
Johnathon Schaech
Robert John Burke
Jason Statham
Dustin Hoffman
Tyler Mane
Eddie Izzard
Ken Jeong
Jason Bateman
Michael Clarke Duncan
Peter Dinklage
Julia Roberts
John Neville
Jay O. Sanders
Lena Olin
John Malkovich
Alfre Woodard
Chi McBride
Martin Sheen
Jon Lovitz
Jon Abrahams
Michael Shannon
Mako
Jack Warden
Tom Hardy
Ice Cube
Sam Rockwell
Dylan Baker
Cary Elwes
Leonard Nimoy
Austin Pendleton
Ian McNeice
Kathryn Hahn
Ziyi Zhang
David Koechner
Richard Attenborough
Jack Thompson
Aaron Taylor-Johnson
Guy Pearce
Neve Campbell
Dana Ivey
Teri Hatcher
Robert Duvall
Milla Jovovich
Blair Underwood
Owen Wilson
Neal McDonough
Jennifer Garner
Luis Guzm\xc3\xa1n
Olivia Thirlby
Patrick Warburton
Kris Kristofferson
Matt Damon
Taryn Manning
Liam Aiken
Anton Yelchin
Eddie Murphy
Maury Chaykin
Sean Penn
John Cho
Marion Cotillard
Bebe Neuwirth
Claire Danes
Adam Goldberg
Anthony Daniels
Pernilla August
Daniel Roebuck
Denise Richards
Frank Langella
Ray Walston
Elden Henson
Monica Bellucci
Fred Willard
Warren Beatty
Elizabeth Banks
Lauren German
Bruce McGill
Jane Adams
Philip Baker Hall
Katie Holmes
Corey Burton
John Carradine
Tom Arnold
Jamie Foxx
Benjamin Bratt
Ewan McGregor
Toby Jones
John Carroll Lynch
Tammy Blanchard
Lennie James
Ron Perlman
Blythe Danner
Amy Adams
Bernard Hill
"Tommy 'Tiny' Lister"
Tim Allen
Steven Mackintosh
David Paymer
Robin Wright
Alun Armstrong
Jason Isaacs
Scott Porter
Columbus Short
Walter Koenig
Carmen Electra
Maggie Gyllenhaal
