Adrian Lyne
Kevin Smith
Catherine Hardwicke
Gus Van Sant
Brett Ratner
Anne Fletcher
Sam Raimi
David Lynch
Arthur Hiller
Quentin Tarantino
Frank Oz
Douglas McGrath
Barbet Schroeder
Gregory Hoblit
Brad Silberling
David R. Ellis
Peter Farrelly
Ernest R. Dickerson
Sydney Pollack
Ridley Scott
Jon Turteltaub
Tom Shadyac
Rob L. Cohen
Hugh Wilson
Mike Nichols
Brian Taylor
Steve Carr
Randall Wallace
Gary Goldman
David Koepp
Cameron Crowe
Tim Burton
Darren Aronofsky
James Cameron
Terry Gilliam
George Clooney
Bobby Farrelly
George Miller
Alexander Payne
John Landis
Dwight H. Little
Richard Donner
Robert Redford
Jesse Dylan
John Moore
Malcolm D. Lee
Taylor Hackford
Christopher Nolan
David Frankel
Albert Hughes
Ron Underwood
Jan de Bont
John Waters
Ken Kwapis
Michael Lehmann
Tyler Perry
David Zucker
Tim Hill
Wes Craven
John Singleton
Steven Brill
Irwin Winkler
Renny Harlin
John McTiernan
Betty Thomas
Alex Proyas
Ivan Reitman
Curtis Hanson
Nick Cassavetes
Rob Zombie
Raja Gosnell
John Sayles
John Whitesell
David Fincher
David Dobkin
Bill Condon
Stephen Sommers
Richard LaGravenese
Aaron Seltzer
Darren Lynn Bousman
Randall Miller
Marcus Nispel
Carl Franklin
Henry Selick
Tony Scott
Paul Greengrass
Ethan Coen
Peter Chelsom
Todd Phillips
Paul Weitz
Milos Forman
Chris Columbus
Robert Luketic
Michel Gondry
Chris Weitz
Mel Brooks
David Yates
Rob Minkoff
Michael Apted
Kenny Ortega
Stephen Herek
Andrew Adamson
Allen Hughes
James Wong
David Silverman
Edward Burns
Frank Darabont
Simon Wincer
Carlos Saldanha
Jason Reitman
David Bowers
Wes Anderson
Frank Coraci
Eric Darnell
D.J. Caruso
Robert Altman
Jonathan Liebesman
Joel Schumacher
Jim Sheridan
Joe Johnston
Rob Reiner
Sofia Coppola
Richard Linklater
F. Gary Gray
David O. Russell
Phillip Noyce
Jay Chandrasekhar
Sheldon Lettich
Andy Wachowski
Guillermo del Toro
Justin Lin
Paul Thomas Anderson
Jonathan Demme
David Twohy
Joe Carnahan
Jason Friedberg
Marc Forster
Brian De Palma
Eli Roth
Robert Rodriguez
Harold Ramis
Joseph Ruben
Paul W.S. Anderson
James Foley
Brian Levant
Wolfgang Petersen
Russell Mulcahy
David Ayer
Alan Parker
Ron Shelton
Rod Lurie
Gore Verbinski
Mark Neveldine
Anthony Minghella
Reginald Hudlin
Nora Ephron
Neil LaBute
Steve Miner
Robert Zemeckis
John Dahl
McG
John Woo
M. Night Shyamalan
Peter Segal
Adam McKay
John Lee Hancock
George A. Romero
Martin Scorsese
Howard Deutch
Jonathan Mostow
Woody Allen
Tony Goldwyn
Paul Verhoeven
Mike Newell
Ang Lee
Wayne Wang
Jon Favreau
George Gallo
Andrew Fleming
James McTeigue
Andy Tennant
Tom McGrath
Lasse Hallstr\xc3\xb6m
Mira Nair
Spike Jonze
Kathryn Bigelow
Danny DeVito
Brad Bird
Antoine Fuqua
Ron Clements
James Ivory
Gary Winick
Kevin Reynolds
Michael Bay
John Lasseter
Neil Jordan
Jon Amiel
Oliver Stone
Simon West
John Carpenter
Andy Fickman
Penny Marshall
John Musker
Peter Berg
Don Bluth
Michael Mann
Kenneth Branagh
Burr Steers
Joss Whedon
Lee Unkrich
Doug Liman
Joel Coen
Michael Lembeck
Dominic Sena
Jay Roach
Garry Marshall
Amy Heckerling
Martin Campbell
Clint Eastwood
Roger Donaldson
Spike Lee
Les Mayfield
Roland Emmerich
Mark Waters
Walter Hill
Andrew Stanton
Adam Shankman
Donald Petrie
James Mangold
Michael Moore
Bryan Singer
Steven Soderbergh
Tim Story
Shawn Levy
Brian Helgeland
Barry Sonnenfeld
Andrzej Bartkowiak
Michael Caton-Jones
Andrew Davis
Scott Hicks
Mike Mitchell
Peter Hyams
Barry Levinson
Judd Apatow
Rob Marshall
Ron Howard
Sam Mendes
William Friedkin
Stephen Hopkins
Steve Oedekerk
Steven Spielberg
Gary Fleder
James L. Brooks
Dennis Dugan
Brian Robbins
Francis Ford Coppola
Edward Zwick
Kevin Costner
Len Wiseman
George Tillman Jr.
Chuck Russell
Frank Marshall
Jonathan Lynn
Peter Jackson
Zack Snyder
Lana Wachowski
Jay Russell
Bruce Beresford
David Mamet
Harold Becker
