Release Date	Movie	Production Budget	Domestic Gross	Worldwide Gross
12/18/09	Avatar	$425,000,000 	$760,507,625 	$2,783,918,982 
5/24/07	Pirates of the Caribbean: At World's End	$300,000,000 	$309,420,425 	$960,996,492 
7/20/12	The Dark Knight Rises	$275,000,000 	$448,139,099 	$1,079,343,943 
7/2/13	The Lone Ranger	$275,000,000 	$89,289,910 	$259,989,910 
3/9/12	John Carter	$275,000,000 	$73,058,679 	$282,778,100 
11/24/10	Tangled	$260,000,000 	$200,821,936 	$586,581,936 
5/4/07	Spider-Man 3	$258,000,000 	$336,530,303 	$890,875,303 
12/14/12	The Hobbit: An Unexpected Journey	$250,000,000 	$303,003,568 	$1,014,703,568 
7/15/09	Harry Potter and the Half-Blood Prince	$250,000,000 	$301,959,197 	$934,416,487 
12/13/13	The Hobbit: The Desolation of Smaug	$250,000,000 	$252,343,924 	$837,343,924 
5/20/11	Pirates of the Caribbean: On Stranger Tides	$250,000,000 	$241,063,875 	$1,043,663,875 
12/17/14	The Hobbit: There and Back Again	$250,000,000 	$0 	$0 
6/28/06	Superman Returns	$232,000,000 	$200,120,000 	$390,874,000 
11/14/08	Quantum of Solace	$230,000,000 	$169,368,427 	$591,692,078 
5/4/12	Marvel's The Avengers	$225,000,000 	$623,279,547 	$1,514,279,547 
7/7/06	Pirates of the Caribbean: Dead Man's Chest	$225,000,000 	$423,315,812 	$1,060,615,812 
6/14/13	Man of Steel	$225,000,000 	$291,045,518 	$687,999,518 
5/16/08	The Chronicles of Narnia: Prince Caspian	$225,000,000 	$141,621,490 	$419,490,286 
12/25/13	47 Ronin	$225,000,000 	$38,048,670 	$118,105,173 
7/3/12	The Amazing Spider-Man	$220,000,000 	$262,030,663 	$757,890,267 
5/25/12	Men in Black 3	$215,000,000 	$179,020,854 	$624,821,154 
6/24/09	Transformers: Revenge of the Fallen	$210,000,000 	$402,111,870 	$836,519,699 
5/26/06	X-Men: The Last Stand	$210,000,000 	$234,362,462 	$459,359,555 
5/14/10	Robin Hood	$210,000,000 	$105,487,148 	$322,459,006 
5/18/12	Battleship	$209,000,000 	$65,235,400 	$304,142,720 
12/14/05	King Kong	$207,000,000 	$218,080,025 	$550,517,357 
12/1/07	His Dark Materials: The Golden Compass	$205,000,000 	$70,107,728 	$372,234,864 
12/19/97	Titanic	$200,000,000 	$658,672,302 	$2,185,672,302 
6/18/10	Toy Story 3	$200,000,000 	$415,004,880 	$1,063,759,456 
5/3/13	Iron Man 3	$200,000,000 	$408,992,272 	$1,211,992,272 
6/30/04	Spider-Man 2	$200,000,000 	$373,524,485 	$783,705,001 
3/5/10	Alice in Wonderland	$200,000,000 	$334,191,110 	$1,024,391,110 
11/8/12	Skyfall	$200,000,000 	$304,360,277 	$1,108,694,081 
3/8/13	Oz the Great and Powerful	$200,000,000 	$234,770,996 	$489,570,996 
6/24/11	Cars 2	$200,000,000 	$191,450,875 	$560,155,383 
12/17/10	Tron: Legacy	$200,000,000 	$172,062,763 	$397,562,763 
11/13/09	2012	$200,000,000 	$166,112,167 	$788,408,539 
5/21/09	Terminator Salvation: The Future Begins	$200,000,000 	$125,322,469 	$371,628,539 
6/17/11	Green Lantern	$200,000,000 	$116,601,172 	$231,201,172 
5/28/10	Prince of Persia: Sands of Time	$200,000,000 	$90,759,676 	$335,059,676 
6/29/11	Transformers: Dark of the Moon	$195,000,000 	$352,390,543 	$1,123,794,076 
3/1/13	Jack the Giant Slayer	$195,000,000 	$65,187,603 	$197,387,603 
5/15/13	Star Trek Into Darkness	$190,000,000 	$228,778,661 	$466,978,661 
6/21/13	World War Z	$190,000,000 	$202,359,711 	$539,559,711 
5/10/13	The Great Gatsby	$190,000,000 	$144,840,419 	$351,040,419 
11/6/09	Disney's A Christmas Carol	$190,000,000 	$137,855,863 	$323,743,744 
7/12/13	Pacific Rim	$190,000,000 	$101,802,906 	$411,002,906 
5/2/08	Iron Man	$186,000,000 	$318,604,126 	$582,443,126 
7/18/08	The Dark Knight	$185,000,000 	$533,345,358 	$1,002,891,358 
5/22/08	Indiana Jones and the Kingdom of the Crystal Skull	$185,000,000 	$317,023,851 	$786,558,145 
6/22/12	Brave	$185,000,000 	$237,282,182 	$554,606,532 
12/9/05	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	$180,000,000 	$291,710,957 	$748,806,957 
6/27/08	WALL-E	$180,000,000 	$223,808,164 	$532,590,994 
8/10/07	Rush Hour 3	$180,000,000 	$140,125,968 	$253,025,968 
11/23/11	Hugo	$180,000,000 	$73,864,507 	$185,033,215 
5/29/09	Up	$175,000,000 	$293,004,164 	$731,542,621 
3/27/09	Monsters vs. Aliens	$175,000,000 	$198,351,526 	$381,687,380 
