Tobe Hooper
George Cukor
Walter Salles
Lee Tamahori
Kevin Smith
Kirk Jones
Catherine Hardwicke
Gus Van Sant
Brett Ratner
Danny Boyle
Sam Raimi
James Whitmore Jr.
David Lynch
Quentin Tarantino
Frank Oz
Paul Haggis
Billy Wilder
Richard Lester
Scott Derrickson
Marcus Nispel
David R. Ellis
Peter Farrelly
Sydney Pollack
Edgar Wright
Iain Softley
George Lucas
Jon Turteltaub
Patrick Lussier
Danny Cannon
Peter Howitt
Rob L. Cohen
John Dahl
John Ford
Hugh Wilson
Baz Luhrmann
Steve Carr
John Madden
David Koepp
Cameron Crowe
Mikael H\xc3\xa5fstr\xc3\xb6m
Lars von Trier
Darren Aronofsky
James Cameron
Daisy Mayer von Scherler
Peter Weir
Michael Robison
Terry Gilliam
Yimou Zhang
George Clooney
Gavin Hood
Bobby Farrelly
George Miller
Alexander Payne
Norman Jewison
John Landis
Dwight H. Little
Richard Donner
David Lean
Robert Redford
Stanley Kubrick
Sergio Leone
Malcolm D. Lee
Taylor Hackford
Christopher Nolan
Roger Michell
Bob Clark
J.J. Abrams
Christopher Guest
Michael Winterbottom
Jean-Pierre Jeunet
Morgan Spurlock
John Frankenheimer
Albert Hughes
Jan de Bont
Robert Schwentke
John Pasquin
Roman Polanski
Sam Peckinpah
Tyler Perry
David Zucker
Jonathan Frakes
Wes Craven
John Singleton
Peter Hyams
Barry Levinson
Irwin Winkler
Renny Harlin
John McTiernan
Betty Thomas
Ivan Reitman
Curtis Hanson
Raja Gosnell
Gary Winick
John Sayles
John Glen
John Whitesell
David Fincher
David Dobkin
Adrian Lyne
Larry Charles
Sidney Lumet
Bill Condon
Stephen Sommers
Richard LaGravenese
Aaron Seltzer
David Slade
Brad Silberling
Tony Scott
Paul Greengrass
Ethan Coen
Joe Dante
Peter Chelsom
Todd Phillips
Paul Weitz
Chris Columbus
Robert Luketic
Michel Gondry
Simon West
Mel Brooks
Brad Anderson
Rob Minkoff
Michael Apted
Andrew Adamson
Allen Hughes
Frank Capra
Edward Burns
Frank Darabont
Simon Wincer
Jason Reitman
David Bowers
Martin Brest
Wes Anderson
Tom Tykwer
Frank Coraci
Andy Fickman
Keenen Ivory Wayans
Alejandro Gonz\xc3\xa1lez I\xc3\xb1\xc3\xa1rritu
Eric Darnell
Robert Altman
Jonathan Liebesman
Joel Schumacher
Joe Johnston
Rob Reiner
Sam Weisman
King Vidor
Richard Linklater
Jeff Wadlow
Francis Ford Coppola
F. Gary Gray
David O. Russell
Phillip Noyce
Oliver Parker
Andy Wachowski
Ridley Scott
Guillermo del Toro
Justin Lin
Paul Thomas Anderson
Jonathan Demme
David Twohy
Andy Cadiff
Joe Carnahan
Jason Friedberg
Marc Forster
Brian De Palma
Eli Roth
Andrew Niccol
Steven Spielberg
Matthew Vaughn
Robert Rodriguez
Harold Ramis
Tom Shadyac
Paul W.S. Anderson
Brian Levant
Wolfgang Petersen
Russell Mulcahy
Kimberly Peirce
Rod Lurie
Gore Verbinski
Stephen Herek
Neil LaBute
Steve Miner
Robert Zemeckis
Alfred Hitchcock
Tim Hill
McG
M. Night Shyamalan
Peter Segal
Ronny Yu
Louis Leterrier
George A. Romero
Martin Scorsese
Jonathan Mostow
Brian Robbins
Woody Allen
Stephen Frears
Lawrence Kasdan
Paul Verhoeven
Mike Newell
Ang Lee
Wayne Wang
Jon Favreau
Guy Ritchie
Andrew Fleming
Carlos Saldanha
Nicole Holofcener
Andy Tennant
Tom McGrath
Alex Kendrick
Lasse Hallstr\xc3\xb6m
Mira Nair
James Wan
John Moore
Neil Burger
Brad Bird
Antoine Fuqua
Guy Hamilton
James Ivory
Rob Zombie
Kevin Reynolds
Michael Bay
John Lasseter
Neil Jordan
Jon Amiel
David Cronenberg
Oliver Stone
Chris Weitz
John Carpenter
Tim Burton
Roger Spottiswoode
Peter Berg
Michael Mann
Kenneth Branagh
Joss Whedon
Lee Unkrich
Doug Liman
Jean-Jacques Annaud
Mike Nichols
Dean Parisot
Joel Coen
Jay Roach
Garry Marshall
Atom Egoyan
Jeff Woolnough
Terrence Malick
Martin Campbell
Peter Cattaneo
Roger Donaldson
Luc Besson
Spike Lee
Stephen Kay
Amy Heckerling
Les Mayfield
Roland Emmerich
Mark Waters
Jeff Tremaine
Walter Hill
Peter Hewitt
Andrew Stanton
Adam Shankman
Donald Petrie
Sofia Coppola
Penny Marshall
Michael Moore
Bryan Singer
Clint Eastwood
Steven Soderbergh
Mike Rohl
Jeannot Szwarc
Tim Story
Shawn Levy
Jon M. Chu
Alfonso Cuar\xc3\xb3n
Ben Stiller
Brian Helgeland
Barry Sonnenfeld
Andrzej Bartkowiak
Michael Caton-Jones
Terence Young
Andrew Davis
Rachel Talalay
Scott Hicks
Rob Marshall
Ron Howard
Nancy Meyers
Sam Mendes
Franklin J. Schaffner
Vincenzo Natali
William Friedkin
Stephen Hopkins
Jerry Zucker
Craig Brewer
Steve Oedekerk
John Woo
Gary Fleder
Dennis Dugan
Steven Brill
Paul Schrader
Edward Zwick
Kevin Costner
Len Wiseman
George Tillman Jr.
"Gavin O'Connor"
Chuck Russell
Frank Marshall
Jonathan Lynn
Peter Jackson
James Mangold
Zack Snyder
Lana Wachowski
Seth Gordon
Harold Becker
